Order,Emoji,Word,Transcription,Transcription_UK,Symbol,Category,Literal_Translation,Contextual_Translation
265,🌉,Bridge,/brɪdʒ/,/brɪdʒ/,/dʒ/,Affricates,"ponte, ligação, conexão, passarela, travessia",Estrutura que permite cruzar rios ou ligar dois pontos.
264,🧥,Jacket,/ˈdʒæ.kɪt/,/ˈdʒæk.ɪt/,/dʒ/,Affricates,"jaqueta, casaco, blazer, paletó, capa",Peça de roupa usada sobre o tronco para frio/proteção.
262,💼,Job,/dʒɑːb/,/dʒɒb/,/dʒ/,Affricates,"trabalho, emprego, função, cargo, tarefa",Atividade profissional exercida por alguém.
263,😂,Joke,/dʒoʊk/,/dʒəʊk/,/dʒ/,Affricates,"piada, brincadeira, gracejo, trote, ironia",Algo dito ou feito para provocar riso.
266,🗣️,Language,/ˈlæŋ.ɡwɪdʒ/,/ˈlæŋ.ɡwɪdʒ/,/dʒ/,Affricates,"língua, idioma, linguagem, fala, expressão",Sistema usado para comunicação entre pessoas.
267,📅,Schedule,/ˈskedʒ.uːl/,/ˈʃedʒ.uːl/,/dʒ/,Affricates,"horário, cronograma, agenda, programação, plano",Lista organizada de compromissos ou atividades.
256,🧗,Challenge,/ˈtʃæ.lɪndʒ/,/ˈtʃæl.ɪndʒ/,/tʃ/,Affricates,"desafio, obstáculo, prova, teste, provocação",Algo difícil que exige esforço para ser superado.
258,📺,Channel,/ˈtʃæ.nəl/,/ˈtʃæn.əl/,/tʃ/,Affricates,"canal, meio, via, emissora, trajeto",Meio de comunicação ou passagem física.
257,📖,Chapter,/ˈtʃæp.tər/,/ˈtʃæp.tər/,/tʃ/,Affricates,"capítulo, parte, seção, etapa, episódio",Divisão de um livro ou fase de um processo.
259,👶,Childhood,/ˈtʃaɪld.hʊd/,/ˈtʃaɪld.hʊd/,/tʃ/,Affricates,"infância, fase, juventude, período, começo",Período inicial da vida de uma pessoa.
261,🍫,Chocolate,/ˈtʃɑː.klət/,/ˈtʃɒk.lət/,/tʃ/,Affricates,"chocolate, doce, bombom, barra, cacau",Alimento feito de cacau; sobremesa popular.
260,⛪,Church,/tʃɜːrtʃ/,/tʃɜːtʃ/,/tʃ/,Affricates,"igreja, templo, congregação, culto, instituição",Local ou organização religiosa cristã.
83,👁️,Eye,/aɪ/,/aɪ/,/aɪ/,Diphthongs,"olho, visão, olhar, perspectiva, atenção",Órgão da visão ou ponto de vista de alguém.
109,💡,Idea,/aɪˈdɪə/,/aɪˈdɪə/,/aɪ/,Diphthongs,"ideia, pensamento, noção, conceito, opinião",Representação mental de algo; plano.
