Emoji,Word,Transcription,Symbol,Category
💉,S y ringe,/s ə ˈrɪndʒ/,/dʒ/,Affricates
💡,Idea,/aɪˈdɪə/,/aɪ/,Diphthongs
🧩,Item,/ˈaɪ.t̬əm/,/aɪ/,Diphthongs
🧬,Life,/laɪf/,/aɪ/,Diphthongs
💲,Price,/praɪs/,/aɪ/,Diphthongs
📦,S u pply,/s ə ˈplaɪ/,/aɪ/,Diphthongs
🧾,Account,/əˈk aʊ nt/,/aʊ/,Diphthongs
🌸,Flower,/ˈfl ɑʊ ·ər/,/aʊ/,Diphthongs
🕐,Hour,/ aʊ r/,/aʊ/,Diphthongs
🚿,Shower,/ˈʃ ɑʊ ·ər/,/aʊ/,Diphthongs
🎶,Sound,/s aʊ nd/,/aʊ/,Diphthongs
🧘,Care,/k eə r/,/eə/,Diphthongs
🪑,Chair,/tʃ eə r/,/eə/,Diphthongs
🎂,Age,/eɪdʒ/,/eɪ/,Diphthongs
🎮,Game,/ɡeɪm/,/eɪ/,Diphthongs
📍,Place,/pleɪs/,/eɪ/,Diphthongs
📅,Today,/təˈdeɪ/,/eɪ/,Diphthongs
👚,Clothes,/kloʊz/,/oʊ/,Diphthongs
🍃,Flow,/floʊ/,/oʊ/,Diphthongs
🏠,Home,/hoʊm/,/oʊ/,Diphthongs
🏨,Hotel,/hoʊˈtel/,/oʊ/,Diphthongs
👎,No,/noʊ/,/oʊ/,Diphthongs
📅,A ppointm e nt,/ ə ˈpɔɪnt.m ə nt/,/ɔɪ/,Diphthongs
👦,Boy,/bɔɪ/,/ɔɪ/,Diphthongs
🔊,Noise,/nɔɪz/,/ɔɪ/,Diphthongs
👂,Ear,/ ɪə r/,/ɪə/,Diphthongs
🔥,Fire,/’fa ɪə r/,/ɪə/,Diphthongs
💡,Idea,/aɪˈd ɪə /,/ɪə/,Diphthongs
📅,Year,/j ɪə r/,/ɪə/,Diphthongs
⚡,Power,/ˈpa ʊə r/,/ʊə/,Diphthongs
🔒,Security,/sɪˈkj ʊə .rə.ti/,/ʊə/,Diphthongs
🚌,Tour,/t ʊə r/,/ʊə/,Diphthongs
🗼,Tower,/ˈta ʊə r/,/ʊə/,Diphthongs
🔁,Habit,/ˈhæ.bɪt/,/h/,Fricatives
😊,Happiness,/ˈhæ.pɪ.nəs/,/h/,Fricatives
📚,History,/ˈhɪs.tə.ri/,/h/,Fricatives
🎉,Holiday,/ˈhɑː.lə.deɪ/,/h/,Fricatives
🏥,Hospital,/ˈhɑː.spɪ.təl/,/h/,Fricatives
😰,Anxiety,/æŋˈzaɪ.ə.ti/,/z/,Fricatives
🎨,Design,/dɪˈzaɪn/,/z/,Fricatives
🧪,Example,/ɪɡˈzæm.pəl/,/z/,Fricatives
🎼,Musician,/mjuˈzɪ.ʃən/,/z/,Fricatives
📊,Result,/rɪˈzʌlt/,/z/,Fricatives
👕,Clothing,/ˈkloʊ.ðɪŋ/,/ð/,Fricatives
👨,Father,/ˈfɑːðər/,/ð/,Fricatives
👵,Grandmother,/ˈɡrænˌmʌ.ðər/,/ð/,Fricatives
🧥,Leather,/ˈle.ðər/,/ð/,Fricatives
🤱,Mother,/ˈmʌð·ər/,/ð/,Fricatives
🟰,Equal,/ˈiː.kwəl/,/iː/,Long Vowels
👮,P o lice,/p ə ˈliːs/,/iː/,Long Vowels
🧩,Piece,/piːs/,/iː/,Long Vowels
🙏,Please,/pliːz/,/iː/,Long Vowels
📅,Week,/wiːk/,/iː/,Long Vowels
🫂,C o mmun i ty,/k ə ˈmjuː.n ə .ti/,/uː/,Long Vowels
📋,Menu,/ˈmen.juː/,/uː/,Long Vowels
😂,Mood,/muːd/,/uː/,Long Vowels
🌜,Moon,/muːn/,/uː/,Long Vowels
📰,News,/nuːz/,/uː/,Long Vowels
🏊,Pool,/puːl/,/uː/,Long Vowels
🎨,Art,/ɑːrt/,/ɑː/,Long Vowels
💳,Card,/kɑːrd/,/ɑː/,Long Vowels
🫁,Ox y gen,/ˈɑːk.s ə .dʒən/,/ɑː/,Long Vowels
🌳,Park,/pɑːrk/,/ɑː/,Long Vowels
,Wall,/wɑːl/,/ɑː/,Long Vowels
👧,Daughter,/ˈdɑ:.tər/,/ɔː/,Long Vowels
🚪,Door,/dɔːr/,/ɔː/,Long Vowels
🐦,Bird,/bɝːd/,/ɜː/,Long Vowels
👧,Girl,/ɡɜːrl/,/ɜː/,Long Vowels
🔠,Word,/wɜːrd/,/ɜː/,Long Vowels
💼,Work,/wɜːrk/,/ɜː/,Long Vowels
🌎,World,/wɜːrld/,/ɜː/,Long Vowels
🧠,Memory,/ˈmem.ə.ri/,/m/,Nasals
💬,Message,/ˈmes.ɪdʒ/,/m/,Nasals
🪞,Mirror,/ˈmɪr.ər/,/m/,Nasals
🌅,Morning,/ˈmɔːr.nɪŋ/,/m/,Nasals
💪,Muscle,/ˈmʌ.səl/,/m/,Nasals
🎵,Music,/ˈmjuː.zɪk/,/m/,Nasals
🧠,Knowledge,/ˈnɑː.lɪdʒ/,/n/,Nasals
🌆,Evening,/ˈiːv.nɪŋ/,/ŋ/,Nasals
👑,King,/kɪŋ/,/ŋ/,Nasals
💍,Ring,/rɪŋ/,/ŋ/,Nasals
🎵,Song,/sɔːŋ/,/ŋ/,Nasals
🔲,Thing,/θɪŋ/,/ŋ/,Nasals
👶,Young,/jʌŋ/,/ŋ/,Nasals
🎓,Education,/ˌed.jʊˈkeɪ.ʃən/,/e/,Short Vowels
🏁,End,/end/,/e/,Short Vowels
👬,Friend,/frend/,/e/,Short Vowels
🧠,Head,/hed/,/e/,Short Vowels
